sample_id,DACH1_expr,burden_index,CADM1_meth,ESR1_meth,SLIT2_meth,EDNRB_meth
TCGA-MA-AA43-01,205.7118,0.4289428571428572,0.3057,0.4738,0.1616,0.5974
TCGA-MU-A51Y-01,30.4276,0.23397142857142858,0.4394,0.8268,0.2378,0.4953
TCGA-MU-A5YI-01,217.2061,0.27422857142857143,0.5352,0.4281,0.7527,0.5657
TCGA-MU-A8JM-01,12.8218,0.2736,0.5063,0.9271,0.5321,0.662
TCGA-MY-A5BD-01,49.9313,0.1403285714285714,0.0399,0.4809,0.0596,0.9079
TCGA-MY-A5BE-01,26.087,0.37717142857142866,0.2602,0.9288,0.2468,0.3669
TCGA-MY-A5BF-01,5.4895,0.3030428571428571,0.6933,0.8332,0.0941,0.7706
TCGA-MY-A913-01,8.9795,0.3728428571428571,0.331,0.851,0.1598,0.6471
TCGA-PN-A8MA-01,216.1905,0.4346000000000001,0.0721,0.1889,0.06,0.8581
TCGA-Q1-A5R2-01,0.4622,0.30684285714285714,0.521,0.7831,0.6404,0.6493
TCGA-Q1-A5R3-01,11.5942,0.14344285714285715,0.4216,0.6752,0.2004,0.6714
TCGA-Q1-A6DT-01,0.5163,0.47718571428571427,0.39,0.8999,0.6079,0.5961
TCGA-Q1-A6DW-01,54.0123,0.2413,0.5533,0.3867,0.7972,0.6613
TCGA-Q1-A73O-01,17.6096,0.34695714285714285,0.1733,0.9232,0.6188,0.4405
TCGA-Q1-A73Q-01,66.7539,0.3608142857142858,0.0867,0.9251,0.0922,0.79
TCGA-R2-A69V-01,19.783,0.38995714285714284,0.1652,0.8979,0.1679,0.2542
TCGA-RA-A741-01,7.4296,0.24244285714285715,0.5011,0.4028,0.6077,0.5312
TCGA-UC-A7PD-01,6.4328,0.3692142857142858,0.253,0.9303,0.1826,0.5914
TCGA-UC-A7PF-01,119.7917,0.36572857142857146,0.3243,0.9003,0.2545,0.4527
TCGA-UC-A7PG-01,189.8613,0.2744,0.075,0.8791,0.1437,0.5366
TCGA-VS-A8EB-01,5.3542,0.25185714285714284,0.8542,0.9179,0.1228,0.8528
TCGA-VS-A8EC-01,9.4527,0.2291857142857143,0.4819,0.7136,0.8828,0.8161
TCGA-VS-A8EG-01,36.5636,0.23392857142857143,0.7939,0.9446,0.0788,0.8154
TCGA-VS-A8EH-01,47.1101,0.33425714285714286,0.4584,0.9163,0.0664,0.7625
TCGA-VS-A8EI-01,12.7374,0.40864285714285714,0.4269,0.9266,0.6205,0.4072
TCGA-VS-A8EJ-01,207.0031,0.2722142857142857,0.0423,0.0725,0.1049,0.0456
TCGA-VS-A8EK-01,19.2732,0.2894571428571428,0.0892,0.7747,0.7398,0.5744
TCGA-VS-A8EL-01,1.6441,0.3064714285714286,0.4361,0.9234,0.6645,0.4549
TCGA-VS-A8Q8-01,12.828,0.37797142857142857,0.5369,0.9447,0.5461,0.7127
TCGA-VS-A8Q9-01,2.3048,0.4425428571428572,0.5961,0.888,0.7621,0.6844
TCGA-VS-A8QA-01,317.7834,0.44865714285714287,0.4844,0.9497,0.089,0.7967
TCGA-VS-A8QC-01,12.7694,0.41552857142857136,0.7572,0.6227,0.802,0.759
TCGA-VS-A8QF-01,16.4165,0.37864285714285717,0.5781,0.9403,0.7122,0.6743
TCGA-VS-A8QM-01,154.6111,0.27754285714285715,0.2958,0.7998,0.2698,0.3051
TCGA-VS-A94W-01,18.2524,0.41707142857142854,0.3127,0.9108,0.1457,0.5644
